[probe] listening on ws://localhost:7777 for 45s (replay since -300s + live)...
[probe] --- 2 distinct pubkey(s) ---
pubkey fd2f10ba:
  kind=30200 x=513bf316 ×3 label= visuals=[coaching,certifications,live-events,community,content,operations,identity,hmmmmm]
  kind=30204 x=37c946b9 ×3 
  kind=30200 x=fddddca6 ×1 label= visuals=[coaching,certifications,live-events,community,content,operations,identity,hmmmmm]
  kind=30200 x=5ba9f049 ×1 label= visuals=[]
  kind=30200 x=cc047bdd ×1 label= visuals=[]
  kind=30200 x=65cb1ccc ×1 label= visuals=[intake,pricing,outcomes,1-on-1,group,retreats]
  kind=30200 x=aaf67c01 ×1 label= visuals=[]
  kind=30200 x=caf218c6 ×1 label= visuals=[]
  kind=30200 x=b418ce02 ×1 label= visuals=[advanced,mentor,foundational,curriculum,cohorts,assessments,1-on-1]
  kind=30200 x=f17a1122 ×1 label= visuals=[]
  kind=30200 x=62d727e8 ×1 label= visuals=[]
  kind=30200 x=b96e146c ×1 label= visuals=[]
  kind=30200 x=a9752d4b ×1 label= visuals=[workshops,calendar,playbook,archive,retreats,summits,1-on-1,group,intake,outcomes,pricing]
  kind=30200 x=7d17e22a ×1 label= visuals=[]
  kind=30200 x=6675f8c2 ×1 label= visuals=[]
  kind=30200 x=34123a90 ×1 label= visuals=[]
  kind=30200 x=7fb5773d ×1 label= visuals=[]
  kind=30200 x=35fc2c97 ×1 label= visuals=[]
  kind=30200 x=b156b45d ×1 label= visuals=[]
  kind=30200 x=20f180ce ×1 label= visuals=[]
  kind=30200 x=29c29fe0 ×1 label= visuals=[]
  kind=30200 x=8c8c9d71 ×1 label= visuals=[]
  kind=30200 x=f610f73c ×1 label= visuals=[]
  kind=30200 x=23fbfd4a ×1 label= visuals=[]
  kind=30200 x=b9c76727 ×1 label= visuals=[circles,practice-spaces,members,library,feedback,governance]
  kind=30200 x=3c18106a ×1 label= visuals=[]
  kind=30200 x=af2622e4 ×1 label= visuals=[]
  kind=30200 x=b2b6d3f9 ×1 label= visuals=[]
  kind=30200 x=745b8ba3 ×1 label= visuals=[]
  kind=30200 x=f7ccadde ×1 label= visuals=[]
  kind=30200 x=e07dbea6 ×1 label= visuals=[podcasts,talks,frameworks,case-studies,publishing,essays]
  kind=30200 x=d081651a ×1 label= visuals=[]
  kind=30200 x=71305206 ×1 label= visuals=[]
  kind=30200 x=3c359ebb ×1 label= visuals=[]
  kind=30200 x=a19bc653 ×1 label= visuals=[]
  kind=30200 x=1582b323 ×1 label= visuals=[manifesto,voice,audiences,visual]
  kind=30200 x=65ffaadf ×1 label= visuals=[]
  kind=30200 x=4182ec3f ×1 label= visuals=[]
  kind=30200 x=590aff2c ×1 label= visuals=[]
  kind=30200 x=d72e520e ×1 label= visuals=[]
  kind=30200 x=519f9db2 ×1 label= visuals=[tier-1-individual,tier-2-group,tier-3-retreat]
  kind=30200 x=eb954fc2 ×1 label= visuals=[]
  kind=30200 x=14b4a6b2 ×1 label= visuals=[]
  kind=30200 x=d353a1b8 ×1 label= visuals=[]
  kind=30200 x=1dea5f85 ×1 label= visuals=[intake-flow,arc-protocol,session-formats,follow-up]
  kind=30200 x=6976b59c ×1 label= visuals=[]
  kind=30200 x=8cd22c4a ×1 label= visuals=[]
  kind=30200 x=8354509f ×1 label= visuals=[]
  kind=30200 x=a1899af1 ×1 label= visuals=[]
  kind=30200 x=7a9e55e3 ×1 label= visuals=[pod-design,facilitation,cross-pollination]
  kind=30200 x=b8eb16c0 ×1 label= visuals=[]
  kind=30200 x=59bdd838 ×1 label= visuals=[]
  kind=30200 x=dd4d4512 ×1 label= visuals=[]
  kind=30200 x=cadcd584 ×1 label= visuals=[arc-design,format,locations]
